name	address
Ecole fondamentale communale de Besonrieux	Rue de Mignault 30, 7100 LA LOUVIERE, Belgium
Ecole fondamentale communale du Bocage	Rue Victor Boch 2, 7100 LA LOUVIERE, Belgium
Ecole fondamentale libre	Rue Achille Chavée 56, 7100 LA LOUVIERE, Belgium
Ecole fondamentale libre Sacré-Coeur - Soleil Levant	Rue Parmentier 23, 7100 LA LOUVIERE, Belgium
Ecole fondamentale libre Saint-Antoine	Rue Faignart 28, 7100 LA LOUVIERE, Belgium
Ecole fondamentale libre Saint-Ghislain et Sainte-Barbe	Chaussée de Mons 20, 7100 LA LOUVIERE, Belgium
Ecole fondamentale libre Sainte-Marie	Rue de l'Olive 1, 7100 LA LOUVIERE, Belgium
Ecole primaire Sainte-Marie B	Rue de l'Olive 5, 7100 LA LOUVIERE, Belgium
Ecole primaire libre Institut Sainte-Marie A	Rue de Bouvy 35, 7100 LA LOUVIERE, Belgium
Institut fondamental Saint-Joseph	Rue Gustave Boël 55, 7100 LA LOUVIERE, Belgium
Ecole fondamentale communale	Rue des Briqueteries 1, 7100 SAINT-VAAST, Belgium
Ecole fondamentale libre de Saint-Vaast	Rue du Four à Chaux 15, 7100 SAINT-VAAST, Belgium
Ecole fondamentale communale	Place de Trivières 25, 7100 TRIVIERES, Belgium
Ecole fondamentale communale	Rue Eugène Valentin 22, 7110 HOUDENG-AIMERIES, Belgium
Ecoles fondamentales libres Houdeng-Aimeries - Bois-du-Luc	Rue Jean Louthe 11, 7110 HOUDENG-AIMERIES, Belgium
Ecole fondamentale communale	Rue de l'Abattoir 36, 7110 HOUDENG-GOEGNIES, Belgium
Ecole fondamentale libre Saint-Donat	Rue Cardinal Mercier 17, 7110 HOUDENG-GOEGNIES, Belgium
Ecole maternelle communale autonome	Rue Trieu-à-Vallée 203, 7110 HOUDENG-GOEGNIES, Belgium
Ecole fondamentale communale du Centre	Chaussée Paul Houtart 316, 7110 LA LOUVIERE, Belgium
Ecole fondamentale libre	Rue du Roeulx 23, 7110 MAURAGE, Belgium
Ecole communale fondamentale - Groupe scolaire de Strépy - Boussoit	Rue des Canadiens 1-3, 7110 STREPY-BRACQUEGNIES, Belgium
Ecole fondamentale communale	Place de Bracquegnies 1, 7110 STREPY-BRACQUEGNIES, Belgium
Ecole fondamentale communale	Rue de Nivelles 155, 7110 STREPY-BRACQUEGNIES, Belgium
Ecole fondamentale communale	Chaussée Brunehault 234, 7120 ESTINNES, Belgium
Ecole fondamentale libre Saint-Joseph	Rue Grande 28, 7120 ESTINNES, Belgium
Ecole primaire libre Bonne-Espérance	Rue Grégoire Jurion 22, 7120 VELLEREILLE-LES-BRAYEUX, Belgium
Ecole fondamentale annexée Binche	Rue de Maromme 120, 7130 BINCHE, Belgium
Ecole fondamentale libre Institut du Sacré-Coeur	Avenue de Burlet 12, 7130 BINCHE, Belgium
Ecole fondamentale libre Le Petit Collège	Rue des Masures 21, 7130 BINCHE, Belgium
Ecole primaire annexée à l'Athénée Royal de Binche	Pl des Droits de l'Homme 16, 7130 BINCHE, Belgium
Ecole communale fondamentale Binche III	Rue de Clerfayt 33, 7131 WAUDREZ, Belgium
Ecole communale fondamentale Binche IV	Rue des Ecoles 9, 7133 BUVRINNES, Belgium
Ecole communale fondamentale Binche VI	Rue Salvador Allende 63, 7134 LEVAL-TRAHEGNIES, Belgium
Ecole fondamentale libre Leval-Trahegnies	Place René Anème 14, 7134 LEVAL-TRAHEGNIES, Belgium
Ecole communale fondamentale Binche I	Rue Alphonse Gravis 53, 7134 PERONNES-LEZ-BINCHE, Belgium
Ecole communale fondamentale Binche II	Rue Joseph Wauters 141, 7134 PERONNES-LEZ-BINCHE, Belgium
Ecole communale fondamentale Binche V	Place de Ressaix 7, 7134 RESSAIX, Belgium
Ecole fondamentale libre	Rue des Primevères 2, 7134 RESSAIX, Belgium
Ecole fondamentale libre de l'Enfant Jésus	Rue Argentin 22, 7140 MORLANWELZ-MARIEMONT, Belgium
Ecole fondamentale provinciale d'application	Rue de l'Enseignement 14, 7140 MORLANWELZ-MARIEMONT, Belgium
Ecole primaire communale	Place Franklin Roosevelt 18, 7140 MORLANWELZ-MARIEMONT, Belgium
Ecole communale des Trieux	Rue des Ecoles 32 1, 7141 CARNIERES, Belgium
Ecole communale du Centre	Place de Carnières 15A, 7141 CARNIERES, Belgium
Ecole fondamentale libre Sainte-Thérèse et Saint-Joseph	Place de Carnières 26, 7141 CARNIERES, Belgium
Ecole fondamentale communale	Rue de la Résistance ,, 7160 CHAPELLE-LEZ-HERLAIMONT, Belgium
Ecole fondamentale communale	Avenue Lamarche 34B, 7160 CHAPELLE-LEZ-HERLAIMONT, Belgium
Ecole fondamentale communale	Rue des Ecoles 4, 7160 CHAPELLE-LEZ-HERLAIMONT, Belgium
Ecole fondamentale libre Moi de Chapelle-lez-Herlaimont	Rue Emile Vandervelde 17, 7160 CHAPELLE-LEZ-HERLAIMONT, Belgium
Ecole fondamentale communale	Place Albert Ier ,, 7160 GODARVILLE, Belgium
Ecole communale Coq-Cau-Bois	Rue Eugène Coquereau 47, 7170 BOIS-D'HAINE, Belgium
Ecole communale fondamentale	Rue Valéry Happe 2, 7170 BOIS-D'HAINE, Belgium
Ecole communale fondamentale	Place Albert Ier 1B, 7170 FAYT-LEZ-MANAGE, Belgium
Ecole fondamentale libre	Place Albert Ier 7, 7170 FAYT-LEZ-MANAGE, Belgium
Ecole Pascal Hoyaux	Ruelle Vanhulst 15, 7170 LA HESTRE, Belgium
Ecole communale maternelle autonome	Rue Léonard 24, 7170 LA HESTRE, Belgium
Ecole communale fondamentale	Rue Delval ,, 7170 MANAGE, Belgium
Ecole fondamentale libre Saint-Antoine	Grand'Rue 79, 7170 MANAGE, Belgium
Ecole communale de Seneffe	Rue de Buisseret 19, 7180 SENEFFE, Belgium
Ecole fondamentale libre Saints Cyr et Julitte	Rue Général Leman 6, 7180 SENEFFE, Belgium
Ecole fondamentale communale	Rue des Ecoles 10, 7181 ARQUENNES, Belgium
Ecole communale de Familleureux	Rue Ferrer 106, 7181 FAMILLEUREUX, Belgium
Ecole fondamentale communale	Chaussée de Marche 27, 7181 FELUY, Belgium
Ecole fondamentale libre paroissiale de Feluy	Chaussée de Familleureux 8, 7181 FELUY, Belgium
Ecole fondamentale communale de Marche	Rue de l'Avedelle 152, 7190 ECAUSSINNES, Belgium
Ecole communale fondamentale Odenat Bouton	Rue de Soignies 1, 7190 ECAUSSINNES-D'ENGHIEN, Belgium
Ecole fondamentale communale Ecole du Sud	Rue Arthur Pouplier 46-48, 7190 ECAUSSINNES-D'ENGHIEN, Belgium
Ecole fondamentale libre Sacré-Coeur - Saint-Géry	Rue Anselme Mary 13, 7190 ECAUSSINNES-D'ENGHIEN, Belgium
Ecole fondamentale libre Saint-Rémy	Rue de l'Eglise 22-24, 7190 ECAUSSINNES-D'ENGHIEN, Belgium
Ecole fondamentale communale de L'Alliance	Rue de l'Alliance 19, 7300 BOUSSU, Belgium
Ecole fondamentale communale du Centre-Boussu	Rue Neuve 24, 7300 BOUSSU, Belgium
Ecole fondamentale communale du Foyer moderne	Quartier de Robertmont 1, 7300 BOUSSU, Belgium
Ecole fondamentale libre Collège Sainte-Marie	Rue Jules Bonaventure 10, 7300 BOUSSU, Belgium
Ecole fondamentale libre Saint-Charles	Place Saint-Charles 30A, 7300 BOUSSU, Belgium
Ecole fondamentale libre Saint-Géry	Allée de la Motte 5, 7300 BOUSSU, Belgium
Ecole fondamentale communale de La Chapelle	Rue de Binche 80, 7301 HORNU, Belgium
Ecole fondamentale communale du Centre - Hornu	Rue de Mot 110, 7301 HORNU, Belgium
Ecole fondamentale communale du Grand Hornu	Rue de Mons 202, 7301 HORNU, Belgium
